Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy Accuracy
Im059_1 45 87 20 40 6.666666666666665 44.44444444444444 88.88888888888889 88.88888888888889
Im060_1 16 32 16 14 0.0 100.0 87.5 87.5
Im061_1 34 44 20 32 70.58823529411764 58.82352941176471 94.11764705882352 94.11764705882352
Im062_1 38 64 20 29 31.57894736842105 52.63157894736843 76.31578947368422 76.31578947368422
Im063_1 25 25 20 27 100.0 80.0 92.0 92.0
Im064_0 1 0 2 2 0.0 0.0 0.0 0.0
Im065_0 2 2 5 5 100.0 -50.0 -50.0 -50.0
Im066_0 1 1 3 3 100.0 -100.0 -100.0 -100.0
Im067_0 2 2 6 5 100.0 -100.0 -50.0 -50.0
Im068_0 2 4 7 6 0.0 -150.0 -100.0 -100.0
Im069_0 1 0 2 2 0.0 0.0 0.0 0.0
Im070_0 1 1 3 3 100.0 -100.0 -100.0 -100.0
Im071_0 1 1 4 4 100.0 -200.0 -200.0 -200.0
Im072_0 1 0 3 3 0.0 -100.0 -100.0 -100.0
Im073_0 1 1 1 1 100.0 100.0 100.0 100.0
Im074_0 1 0 2 2 0.0 0.0 0.0 0.0
Im075_0 1 1 2 2 100.0 0.0 0.0 0.0
Im076_0 2 1 10 9 50.0 -300.0 -250.0 -250.0
Im077_0 1 1 3 3 100.0 -100.0 -100.0 -100.0
Im078_0 3 1 7 7 33.333333333333336 -33.33333333333333 -33.33333333333333 -33.33333333333333
Im079_0 7 20 14 13 -85.71428571428572 0.0 14.28571428571429 14.28571428571429
Im080_0 2 1 4 4 50.0 0.0 0.0 0.0
Im081_0 2 1 6 6 50.0 -100.0 -100.0 -100.0
Im082_0 2 1 3 3 50.0 50.0 50.0 50.0
Im083_0 1 1 1 1 100.0 100.0 100.0 100.0
Im084_0 2 3 6 6 50.0 -100.0 -100.0 -100.0
Im085_0 2 6 5 4 -100.0 -50.0 0.0 0.0
Im086_0 1 1 3 3 100.0 -100.0 -100.0 -100.0
Im087_0 2 2 6 6 100.0 -100.0 -100.0 -100.0
Im088_0 4 4 12 11 100.0 -100.0 -75.0 -75.0
Im089_0 1 1 8 8 100.0 -600.0 -600.0 -600.0
Im090_0 5 6 9 8 80.0 19.999999999999996 40.0 40.0
Im091_0 3 8 3 3 -66.66666666666667 100.0 100.0 100.0
Im092_0 1 1 9 9 100.0 -700.0 -700.0 -700.0
Im093_0 4 8 16 14 0.0 -200.0 -150.0 -150.0
Im094_0 1 1 4 4 100.0 -200.0 -200.0 -200.0
Im095_0 2 2 4 4 100.0 0.0 0.0 0.0
Im096_0 3 4 3 3 66.66666666666667 100.0 100.0 100.0
Im097_0 3 2 4 3 66.66666666666667 66.66666666666667 100.0 100.0
Im098_0 1 1 2 2 100.0 0.0 0.0 0.0
Im099_0 3 5 5 3 33.333333333333336 33.333333333333336 100.0 100.0
Im100_0 1 1 1 1 100.0 100.0 100.0 100.0
Im101_0 1 1 1 1 100.0 100.0 100.0 100.0
Im102_0 1 1 1 1 100.0 100.0 100.0 100.0
Im103_0 2 3 3 2 50.0 50.0 100.0 100.0
Im104_0 2 2 3 3 100.0 50.0 50.0 50.0
Im105_0 4 5 8 5 75.0 0.0 75.0 75.0
Im106_0 2 0 4 2 0.0 0.0 100.0 100.0
Im107_0 2 2 2 2 100.0 100.0 100.0 100.0
Im108_0 4 8 16 14 0.0 -200.0 -150.0 -150.0
Resulting accuracy: 28.795231629791388
