Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy
Im048_1 8 2 8 8 25.0 100.0 100.0
Im049_1 7 4 7 7 57.14285714285714 100.0 100.0
Im050_1 7 3 7 7 42.85714285714286 100.0 100.0
Im051_1 20 0 20 425 0.0 100.0 -1925.0
Im052_1 20 1 20 405 5.000000000000004 100.0 -1825.0
Im053_1 12 2 12 11 16.666666666666664 100.0 91.66666666666666
Im054_1 20 0 20 458 0.0 100.0 -2090.0
Im055_1 5 3 5 5 60.0 100.0 100.0
Im056_1 4 1 4 4 25.0 100.0 100.0
Im057_1 20 1 20 411 5.000000000000004 100.0 -1855.0
Im058_1 10 6 10 10 60.0 100.0 100.0
Im059_1 6 1 6 6 16.666666666666664 100.0 100.0
Im060_1 7 2 7 7 28.57142857142857 100.0 100.0
Im061_1 9 4 9 9 44.44444444444444 100.0 100.0
Im062_1 5 3 5 5 60.0 100.0 100.0
Im063_1 12 6 12 12 50.0 100.0 100.0
Im064_0 20 0 20 372 0.0 100.0 -1660.0000000000002
Im065_0 3 1 3 3 33.333333333333336 100.0 100.0
Im066_0 3 2 3 3 66.66666666666667 100.0 100.0
Im067_0 5 1 5 5 19.999999999999996 100.0 100.0
Im068_0 20 0 20 436 0.0 100.0 -1980.0
Im069_0 2 3 2 2 50.0 100.0 100.0
Im070_0 2 1 2 2 50.0 100.0 100.0
Im071_0 20 3 20 445 15.000000000000002 100.0 -2025.0
Im072_0 20 5 20 401 25.0 100.0 -1805.0
Im073_0 20 44 20 425 -19.999999999999996 100.0 -1925.0
Im074_0 20 0 20 404 0.0 100.0 -1820.0
Im075_0 20 1 20 351 5.000000000000004 100.0 -1555.0
Im076_0 3 4 3 3 66.66666666666667 100.0 100.0
Im077_0 4 3 4 3 75.0 100.0 75.0
Im078_0 20 10 20 425 50.0 100.0 -1925.0
Im080_0 20 40 20 468 0.0 100.0 -2140.0
Im081_0 2 1 2 2 50.0 100.0 100.0
Im082_0 20 0 20 412 0.0 100.0 -1860.0000000000002
Im084_0 20 10 20 436 50.0 100.0 -1980.0
Im085_0 20 1 20 402 5.000000000000004 100.0 -1810.0000000000002
Im087_0 4 4 4 4 100.0 100.0 100.0
Im088_0 6 6 6 6 100.0 100.0 100.0
Im089_0 20 33 20 424 35.0 100.0 -1920.0
Im090_0 3 1 3 3 33.333333333333336 100.0 100.0
Im091_0 20 1 20 406 5.000000000000004 100.0 -1830.0
Im092_0 20 0 20 431 0.0 100.0 -1955.0
Im093_0 20 1 20 440 5.000000000000004 100.0 -2000.0
Im094_0 20 4 20 413 19.999999999999996 100.0 -1864.9999999999998
Im095_0 20 0 20 365 0.0 100.0 -1625.0
Im096_0 10 5 10 10 50.0 100.0 100.0
Im097_0 8 1 8 8 12.5 100.0 100.0
Im098_0 20 11 20 20 55.00000000000001 100.0 100.0
Im099_0 14 7 14 14 50.0 100.0 100.0
Im100_0 9 1 9 9 11.111111111111116 100.0 100.0
Im101_0 17 2 17 17 11.764705882352944 100.0 100.0
Im102_0 15 1 15 15 6.666666666666665 100.0 100.0
Im103_0 13 4 13 13 30.76923076923077 100.0 100.0
Im104_0 17 7 17 17 41.17647058823529 100.0 100.0
Im105_0 2 1 2 2 50.0 100.0 100.0
Im106_0 7 5 7 7 71.42857142857143 100.0 100.0
Im107_0 10 0 10 10 0.0 100.0 100.0
Im108_0 20 1 20 440 5.000000000000004 100.0 -2000.0
CHT Accuracy: 37.342914440629244
CCL Accuracy: 92.21441746631031
EDT Accuracy: -449.94651291244185
