Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy Accuracy
Im082_0 0 0 20 412 nan -inf -inf -inf
Im083_0 0 0 20 406 nan -inf -inf -inf
Im084_0 0 0 20 436 nan -inf -inf -inf
Im085_0 0 0 20 402 nan -inf -inf -inf
Im086_0 0 0 20 431 nan -inf -inf -inf
Im087_0 0 1 4 4 -inf -inf -inf -inf
Im088_0 0 0 6 6 nan -inf -inf -inf
Im089_0 0 0 20 424 nan -inf -inf -inf
Im090_0 0 0 3 3 nan -inf -inf -inf
Im091_0 0 0 20 406 nan -inf -inf -inf
Im092_0 0 0 20 431 nan -inf -inf -inf
Im093_0 0 0 20 440 nan -inf -inf -inf
Im094_0 0 0 20 413 nan -inf -inf -inf
Im095_0 0 0 20 365 nan -inf -inf -inf
Im096_0 0 0 10 10 nan -inf -inf -inf
Im097_0 0 0 8 8 nan -inf -inf -inf
Im098_0 0 2 20 20 -inf -inf -inf -inf
Im099_0 0 0 14 14 nan -inf -inf -inf
Im100_0 0 0 9 9 nan -inf -inf -inf
Im101_0 0 0 17 17 nan -inf -inf -inf
Im102_0 0 0 15 15 nan -inf -inf -inf
Im103_0 0 0 13 13 nan -inf -inf -inf
Im104_0 0 0 17 17 nan -inf -inf -inf
Im105_0 0 0 2 2 nan -inf -inf -inf
Im106_0 0 0 7 7 nan -inf -inf -inf
Im107_0 0 0 10 10 nan -inf -inf -inf
Im108_0 0 0 20 440 nan -inf -inf -inf
Resulting accuracy: -inf
