Image Real_Count CHT CCL EDT CHT_Accuracy CCL_Accuracy EDT_Accuracy
Im061_1 33 37 21 32 87.87878787878788 63.63636363636363 96.96969696969697
Im062_1 37 39 22 33 94.5945945945946 59.45945945945945 89.1891891891892
Im063_1 25 32 21 26 72.0 84.0 96.0
Im064_0 1 1 1 1 100.0 100.0 100.0
Im065_0 2 2 3 2 100.0 50.0 100.0
Im066_0 1 1 1 1 100.0 100.0 100.0
Im067_0 2 2 4 2 100.0 0 100.0
Im068_0 2 2 3 2 100.0 50.0 100.0
Im069_0 1 1 1 1 100.0 100.0 100.0
Im070_0 1 1 1 1 100.0 100.0 100.0
Im071_0 1 1 1 1 100.0 100.0 100.0
Im072_0 1 1 1 1 100.0 100.0 100.0
Im073_0 1 1 1 1 100.0 100.0 100.0
Im074_0 1 1 1 1 100.0 100.0 100.0
Im075_0 1 1 1 1 100.0 100.0 100.0
Im076_0 2 2 4 2 100.0 0 100.0
Im077_0 1 1 1 1 100.0 100.0 100.0
Im078_0 2 1 4 2 50.0 0 100.0
Im079_0 7 7 9 9 100.0 71.42857142857143 71.42857142857143
Im080_0 2 2 3 2 100.0 50.0 100.0
Im081_0 2 2 5 2 100.0 0.5 100.0
Im082_0 2 1 3 3 50.0 50.0 50.0
Im083_0 1 1 1 1 100.0 100.0 100.0
Im084_0 2 3 5 4 50.0 0.5 0
Im085_0 2 2 3 3 100.0 50.0 50.0
Im086_0 2 1 2 2 50.0 100.0 100.0
Im087_0 2 1 5 3 50.0 0.5 50.0
Im088_0 4 4 8 6 100.0 0 50.0
Im089_0 2 1 3 2 50.0 50.0 100.0
Im090_0 5 4 6 6 80.0 80.0 80.0
Im091_0 3 3 3 4 100.0 100.0 66.66666666666667
Im092_0 1 1 5 2 100.0 3.0 0
Im093_0 4 4 8 4 100.0 0 100.0
Im094_0 1 1 1 1 100.0 100.0 100.0
Im095_0 2 2 2 2 100.0 100.0 100.0
Im096_0 3 2 3 3 66.66666666666667 100.0 100.0
Im097_0 3 2 3 3 66.66666666666667 100.0 100.0
Im098_0 1 1 1 1 100.0 100.0 100.0
Im099_0 3 1 3 3 33.333333333333336 100.0 100.0
Im100_0 1 1 1 1 100.0 100.0 100.0
Im101_0 1 1 1 1 100.0 100.0 100.0
Im102_0 1 1 1 1 100.0 100.0 100.0
Im103_0 2 2 2 1 100.0 100.0 50.0
Im104_0 2 3 2 3 50.0 100.0 50.0
Im105_0 4 3 4 2 75.0 100.0 50.0
Im106_0 2 2 2 1 100.0 100.0 50.0
Im107_0 2 1 2 2 50.0 100.0 100.0
Im108_0 4 4 8 4 100.0 0 100.0
CHT Accuracy: 86.49449062497958
CCL Accuracy: 80.22616483454864
EDT Accuracy: 89.0554177098674
